Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.457614537,1.475943055,1.475544331,1.51791486,1.576656181,1.556217454,1.518392423,1.499984187,1.49510213,1.482437252,1.46023763,1.458607676,1.381765961,1.243682774,1.26258301,1.470629886,1.476778362,1.330888131,1.283206776,1.225939863
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1777.644968,2129.25697,2734.727099,3523.443021,3898.244592,4629.245517,5703.76028,6405.057424,7147.035186,7781.065975,8175.332851,8254.868593,8979.676527,10085.66381,10342.90095,10627.4638,12887.43572,12970.60564,12951.17824,13303.14815
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.085,74.404,74.789,74.833,75.317,75.668,75.889,76.2,76.452,76.714,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953,..
China,CHN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.4,12.09,12.1,12.14,11.95,11.9,13.27,14.57,13.03,13.83,11.99,13.57,12.64,10.86,10.41,8.52,7.52,6.77,6.39,..
China,CHN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.624,1.644,1.666,1.701,1.714,1.687,1.668,1.798,1.714,1.769,1.67,1.772,1.795,1.539,1.496,1.236,1.117,1.034,0.999,..
China,CHN,"Population, total",SP.POP.TOTL,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,1408975000
China,CHN,Population growth (annual %),SP.POP.GROW,0.58812499,0.558374367,0.522271866,0.512386932,0.497381401,0.482959689,0.546457595,0.678345459,0.666072978,0.63032639,0.581456147,0.573050906,0.605245013,0.467672053,0.35474089,0.23804087,0.0892522,-0.013099501,-0.103794532,-0.123063407
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3377.69127,3455.105999,3762.746928,3899.922315,3164.132754,3449.144529,4139.602886,4341.403387,4572.443775,5293.356767,5097.531069,5363.790267,5826.848145,6085.419795,5842.073446,4620.645724,4536.733121,5414.120921,5926.205864,6425.741517
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.983,66.126,66.161,66.32,66.347,66.778,66.88,65.812,66.545,66.581,66.48,66.657,67.06,66.965,67.009,66.924,64.904,67.148,67.316,..
Fiji,FJI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,24.003,23.964,23.716,23.293,22.839,22.328,21.76,21.583,21.495,21.291,20.998,20.55,20.029,19.601,19.226,18.828,18.55,18.242,17.996,..
