Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Australia,AUS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,64.509,64.85,65.275,65.564,65.502,65.48,65.514,65.245,65.025,64.787,65.076,64.952,65.248,65.804,66.088,65.028,66.147,66.89,67.023,66.719
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.1951172148922,19.8193564623907,20.1458953527592,20.1044121403643,22.9369071089635,19.7322237124156,21.3710952598475,21.4212330245448,19.8931411047873,20.9959179912807,19.9846454503255,19.2031438783351,21.1718412211076,21.8125736575066,24.0624800210722,23.9380373915413,22.0018144228925,25.4615298373659,26.701068252275,24.6215240529473
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,29386.2703822862,34674.7995236452,36217.3290706015,42156.5685838672,30946.4673773828,34937.5555357155,46382.8274255349,46968.5971164922,44003.0644273461,41026.5084247957,30625.1287744656,26663.2972950602,28024.3824580252,30988.1190267227,30426.5730656528,26834.3592233943,31006.9636289785,36632.9280952155,32890.5491812019,33153.4738913513
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.683,74.753,74.793,74.814,74.814,74.82,74.835,74.843,74.854,74.862,74.88,74.905,74.943,74.992,75.049,75.114,74.869,72.917,75.327,..
Brunei Darussalam,BRN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.713,16.262,15.943,16.015,16.241,16.577,16.966,17.096,16.913,16.627,16.239,15.785,15.334,14.924,14.572,14.284,14.06,13.847,13.59,..
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,1.68724773243682,1.58852615956489,1.68860465252749,1.84867406299599,1.87722246166003,1.89897689252094,1.78274591747739,1.53255515873327,1.38231470645459,1.34019436885468,1.30210359279592,1.25964272152269,1.2107045656128,1.15739958778106,1.10621350885567,1.06148281648515,0.96027430523198,0.804554269312164,0.782881746925984,0.81851878860359
Brunei Darussalam,BRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.024,1.969,1.933,1.918,1.921,1.937,1.957,1.973,1.978,1.969,1.947,1.915,1.881,1.848,1.819,1.796,1.778,1.764,1.747,..
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.552870858133,74.0148299904911,74.4344860960786,74.7929411399737,75.0712970872547,75.2506559029998,75.312125504778,75.2714233503027,75.1756915148608,75.0572639801502,74.9484620568562,74.8816070556641,74.8476440654983,74.8172471714305,74.7923311783673,74.7748108912151,74.7667316936175,74.7772642014221,74.8199193881365,74.8983133873697
Brunei Darussalam,BRN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,93.6873092651367,97.5592575073242,98.3408584594727,98.7723617553711,100.720039367676,101.011688232422,102.111122131348,105.229759216309,102.392692565918,96.2848663330078,92.8161697387695,90.0986175537109,88.6814727783203,89.1818084716797,88.2910308837891,86.6857810342997,89.5956009698649,89.8513650597627,91.8381544399811,..
Brunei Darussalam,BRN,"School enrollment, primary (% gross)",SE.PRM.ENRR,119.844757080078,121.505966186523,122.321258544922,116.783126831055,112.532432556152,108.70580714953,104.830894583323,103.310538143682,103.895142180095,103.847709576297,104.185794604632,105.726377387079,104.567053854277,104.179996298549,103.033008586959,102.709633966272,101.387926832397,99.134912983916,96.9292188716198,..
Brunei Darussalam,BRN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,657.31945801,664.74499512,710.42297363,792.01367188,739.28015137,795.97766113,864.63787842,869.36553955,835.32452393,785.41210938,731.04980469,679.46929932,636.22973633,748.69073486,678.81982422,658.38983154,665.87030029,648.55499268,733.00543213,..
Brunei Darussalam,BRN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,67.792,67.571,67.251,66.9,66.665,66.558,66.505,66.382,66.184,65.946,65.682,65.421,65.191,66.433,64.793,63.954,63.895,64.083,64.733,64.509
Brunei Darussalam,BRN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,58.5718065403264,60.1605718986421,56.9641140757782,65.9431408022612,59.7036049151399,67.4082522381788,69.5063427645584,70.1597309927892,68.0441177780807,68.1771018484597,52.2130112286937,49.5777773794133,49.5733065230099,51.9332397866186,57.946040538108,57.3561114159878,80.1689108084537,86.3893568836847,76.7032024805205,74.2707417079449
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,525.797325120926,612.252648550727,731.692295125426,866.283999789749,875.748936193569,952.274616324008,1088.98152823081,1192.80263041673,1305.6600972686,1431.56396469993,1547.32010444393,1675.19555711109,1826.35391688754,2036.67377566578,2225.87705485686,2081.73914242939,2167.40324198499,2325.03050040841,2429.74853452838,2627.87969756224
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.113,64.886,65.549,66.147,66.747,67.311,67.869,68.371,68.755,69.117,69.398,69.635,69.842,69.993,70.127,70.059,69.301,70.528,70.668,..
Cambodia,KHM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,26.104,26.127,26.209,25.88,25.625,25.036,24.631,24.578,24.56,24.403,24.218,23.956,23.655,23.372,22.988,22.409,21.905,21.279,20.752,..
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.4576145365221,1.47594305468246,1.47554433066197,1.51791486007376,1.57665618141569,1.55621745380597,1.51839242344005,1.49998418675996,1.49510212980529,1.4824372519955,1.46023762985186,1.45860767566845,1.38176596089867,1.24368277407927,1.26258301009769,1.47062988552696,1.47677836241244,1.33088813106016,1.28320677599476,1.22593986324555
Cambodia,KHM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.238,3.175,3.13,3.048,2.971,2.859,2.782,2.751,2.742,2.734,2.729,2.725,2.719,2.724,2.725,2.699,2.664,2.616,2.579,..
